,100_percent,90_percent,80_percent,50_percent
Unnamed: 0,0.03416401660306294,0.011782440225774618,-0.01169031952781341,-0.02322315192706725
id,0.03252378606156239,0.010732997994057018,-0.012312630483679733,-0.023767542515502914
host_id,0.04883593728912065,-0.01403292688464903,-0.03853070580510202,-0.0426446811919019
latitude,0.02967664007551806,0.05754428962110035,0.043856360199147744,0.005102577957754166
longitude,-0.11269399695715585,-0.288807033973226,-0.2702097382063452,-0.16341197137367347
minimum_nights,0.02844847621265218,0.03464080325986978,0.04802439848455976,0.04554833210841049
number_of_reviews,-0.04187902885990991,-0.04600422271522907,-0.041854693715173544,-0.016280839480476546
reviews_per_month,-0.02447877284669175,-0.04622467692181936,-0.06774502824685825,-0.047987860376271105
calculated_host_listings_count,0.024014107587724272,0.16064846581826855,0.17554637807785506,0.11362227187885744
availability_365,0.06466144248608481,0.07115991527917534,0.053042272323655604,0.02986692243297946
